area_associata,Year,frequency_PM10,exposure_PM10,intensity_PM10
BUCCINASCO,2015,51,2.073,105.73
BUSCATE,2015,50,1.88,94.022
BUSSERO,2015,50,2.063,103.159
BUSTO GAROLFO,2015,51,2.046,104.326
CALVIGNASCO,2015,51,2.097,106.933
CAMBIAGO,2015,51,1.853,94.516
CANEGRATE,2015,51,2.16,110.148
CARPIANO,2015,51,2.055,104.792
CARUGATE,2015,51,2.032,103.613
CASARILE,2015,51,2.087,106.417
CASOREZZO,2015,51,2.11,107.613
CASSANO D`ADDA,2015,49,1.926,94.366
CASSINA DE PECCHI,2015,50,2.123,106.126
CASSINETTA DI LUGAGNANO,2015,49,2.229,109.219
CASTANO PRIMO,2015,50,1.942,97.118
CERNUSCO SUL NAVIGLIO,2015,50,2.137,106.869
CERRO AL LAMBRO,2015,51,2.041,104.114
CERRO MAGGIORE,2015,51,2.241,114.292
CESANO BOSCONE,2015,51,2.125,108.38
CESATE,2015,51,2.43,123.952
CINISELLO BALSAMO,2015,51,2.156,109.935
CISLIANO,2015,51,2.179,111.112
COLOGNO MONZESE,2015,51,2.087,106.429
COLTURANO,2015,51,2.034,103.741
CORBETTA,2015,49,2.265,110.992
CORMANO,2015,51,2.252,114.863
CORNAREDO,2015,51,2.346,119.671
CORSICO,2015,51,2.086,106.365
CUGGIONO,2015,50,1.843,92.172
CUSAGO,2015,51,2.195,111.939
CUSANO MILANINO,2015,51,2.213,112.843
DAIRAGO,2015,51,1.993,101.622
DRESANO,2015,51,2.027,103.391
GAGGIANO,2015,51,2.133,108.769
GARBAGNATE MILANESE,2015,51,2.512,128.128
GESSATE,2015,51,1.926,98.226
GORGONZOLA,2015,50,2.008,100.424
GREZZAGO,2015,45,1.436,64.634
GUDO VISCONTI,2015,51,2.117,107.989
INVERUNO,2015,50,2.0,100.013
INZAGO,2015,49,1.895,92.85
LACCHIARELLA,2015,51,2.08,106.08
LAINATE,2015,51,2.447,124.793
LEGNANO,2015,51,2.121,108.191
LISCATE,2015,50,2.07,103.496
LOCATE DI TRIULZI,2015,51,2.064,105.256
MAGENTA,2015,49,2.318,113.562
MAGNAGO,2015,51,1.914,97.633
MARCALLO CON CASONE,2015,49,2.247,110.08
MASATE,2015,49,1.794,87.889
MEDIGLIA,2015,51,2.065,105.329
MELEGNANO,2015,51,2.038,103.935
MELZO,2015,50,2.019,100.933
MESERO,2015,50,2.075,103.76
MORIMONDO,2015,51,2.108,107.506
MOTTA VISCONTI,2015,51,2.084,106.295
MUNICIPIO_1,2015,51,1.91,97.427
MUNICIPIO_2,2015,51,2.073,105.729
MUNICIPIO_3,2015,52,2.081,108.197
MUNICIPIO_4,2015,51,1.993,101.63
MUNICIPIO_5,2015,51,1.951,99.503
MUNICIPIO_6,2015,51,1.983,101.152
MUNICIPIO_7,2015,51,2.057,104.925
MUNICIPIO_8,2015,51,2.12,108.102
MUNICIPIO_9,2015,51,2.071,105.615
NERVIANO,2015,51,2.334,119.035
NOSATE,2015,51,1.947,99.301
NOVATE MILANESE,2015,51,2.385,121.642
NOVIGLIO,2015,51,2.1,107.118
OPERA,2015,51,2.064,105.261
OSSONA,2015,50,2.163,108.147
OZZERO,2015,51,2.114,107.805
PADERNO DUGNANO,2015,51,2.317,118.174
PANTIGLIATE,2015,50,2.126,106.293
PARABIAGO,2015,51,2.218,113.116
PAULLO,2015,51,2.029,103.474
PERO,2015,51,2.451,124.994
PESCHIERA BORROMEO,2015,51,2.099,107.074
PESSANO CON BORNAGO,2015,51,1.976,100.785
PIEVE EMANUELE,2015,51,2.07,105.579
PIOLTELLO,2015,51,2.198,112.112
POGLIANO MILANESE,2015,51,2.382,121.473
