area_associata,Year,frequency_CO,exposure_CO,intensity_CO
LISCATE,2015,0,0.0,0.0
LOCATE DI TRIULZI,2015,0,0.0,0.0
MAGENTA,2015,0,0.0,0.0
MAGNAGO,2015,0,0.0,0.0
MARCALLO CON CASONE,2015,0,0.0,0.0
MASATE,2015,0,0.0,0.0
MEDIGLIA,2015,0,0.0,0.0
MELEGNANO,2015,0,0.0,0.0
MELZO,2015,0,0.0,0.0
MESERO,2015,0,0.0,0.0
MORIMONDO,2015,0,0.0,0.0
MOTTA VISCONTI,2015,0,0.0,0.0
MUNICIPIO_1,2015,0,0.0,0.0
MUNICIPIO_2,2015,0,0.0,0.0
MUNICIPIO_3,2015,0,0.0,0.0
MUNICIPIO_4,2015,0,0.0,0.0
MUNICIPIO_5,2015,0,0.0,0.0
MUNICIPIO_6,2015,0,0.0,0.0
MUNICIPIO_7,2015,0,0.0,0.0
MUNICIPIO_8,2015,0,0.0,0.0
MUNICIPIO_9,2015,0,0.0,0.0
NERVIANO,2015,0,0.0,0.0
NOSATE,2015,0,0.0,0.0
NOVATE MILANESE,2015,0,0.0,0.0
NOVIGLIO,2015,0,0.0,0.0
OPERA,2015,0,0.0,0.0
OSSONA,2015,0,0.0,0.0
OZZERO,2015,0,0.0,0.0
PADERNO DUGNANO,2015,0,0.0,0.0
PANTIGLIATE,2015,0,0.0,0.0
PARABIAGO,2015,0,0.0,0.0
PAULLO,2015,0,0.0,0.0
PERO,2015,0,0.0,0.0
PESCHIERA BORROMEO,2015,0,0.0,0.0
PESSANO CON BORNAGO,2015,0,0.0,0.0
PIEVE EMANUELE,2015,0,0.0,0.0
PIOLTELLO,2015,0,0.0,0.0
POGLIANO MILANESE,2015,0,0.0,0.0
POZZO D`ADDA,2015,0,0.0,0.0
POZZUOLO MARTESANA,2015,0,0.0,0.0
PREGNANA MILANESE,2015,0,0.0,0.0
RESCALDINA,2015,0,0.0,0.0
RHO,2015,0,0.0,0.0
ROBECCHETTO CON INDUNO,2015,0,0.0,0.0
ROBECCO SUL NAVIGLIO,2015,0,0.0,0.0
RODANO,2015,0,0.0,0.0
ROSATE,2015,0,0.0,0.0
ROZZANO,2015,0,0.0,0.0
SAN DONATO MILANESE,2015,0,0.0,0.0
SAN GIORGIO SU LEGNANO,2015,0,0.0,0.0
SAN GIULIANO MILANESE,2015,0,0.0,0.0
SAN VITTORE OLONA,2015,0,0.0,0.0
SAN ZENONE AL LAMBRO,2015,0,0.0,0.0
SANTO STEFANO TICINO,2015,0,0.0,0.0
SEDRIANO,2015,0,0.0,0.0
SEGRATE,2015,0,0.0,0.0
SENAGO,2015,0,0.0,0.0
SESTO SAN GIOVANNI,2015,0,0.0,0.0
SETTALA,2015,0,0.0,0.0
SETTIMO MILANESE,2015,0,0.0,0.0
SOLARO,2015,0,0.0,0.0
TREZZANO ROSA,2015,0,0.0,0.0
TREZZANO SUL NAVIGLIO,2015,0,0.0,0.0
TREZZO SULL`ADDA,2015,0,0.0,0.0
TRIBIANO,2015,0,0.0,0.0
TRUCCAZZANO,2015,0,0.0,0.0
TURBIGO,2015,0,0.0,0.0
VANZAGHELLO,2015,0,0.0,0.0
VANZAGO,2015,0,0.0,0.0
VAPRIO D`ADDA,2015,0,0.0,0.0
VERMEZZO CON ZELO,2015,0,0.0,0.0
VERNATE,2015,0,0.0,0.0
VIGNATE,2015,0,0.0,0.0
VILLA CORTESE,2015,0,0.0,0.0
VIMODRONE,2015,0,0.0,0.0
VITTUONE,2015,0,0.0,0.0
VIZZOLO PREDABISSI,2015,0,0.0,0.0
ZIBIDO SAN GIACOMO,2015,0,0.0,0.0
ABBIATEGRASSO,2016,0,0.0,0.0
ALBAIRATE,2016,0,0.0,0.0
ARCONATE,2016,0,0.0,0.0
ARESE,2016,0,0.0,0.0
ARLUNO,2016,0,0.0,0.0
ASSAGO,2016,0,0.0,0.0
BARANZATE,2016,0,0.0,0.0
BAREGGIO,2016,0,0.0,0.0
BASIANO,2016,0,0.0,0.0
BASIGLIO,2016,0,0.0,0.0
BELLINZAGO LOMBARDO,2016,0,0.0,0.0
BERNATE TICINO,2016,0,0.0,0.0
BESATE,2016,0,0.0,0.0
BINASCO,2016,0,0.0,0.0
BOFFALORA SOPRA TICINO,2016,0,0.0,0.0
BOLLATE,2016,0,0.0,0.0
BRESSO,2016,0,0.0,0.0
BUBBIANO,2016,0,0.0,0.0
BUCCINASCO,2016,0,0.0,0.0
BUSCATE,2016,0,0.0,0.0
BUSSERO,2016,0,0.0,0.0
BUSTO GAROLFO,2016,0,0.0,0.0
CALVIGNASCO,2016,0,0.0,0.0
CAMBIAGO,2016,0,0.0,0.0
CANEGRATE,2016,0,0.0,0.0
CARPIANO,2016,0,0.0,0.0
CARUGATE,2016,0,0.0,0.0
CASARILE,2016,0,0.0,0.0
CASOREZZO,2016,0,0.0,0.0
CASSANO D`ADDA,2016,0,0.0,0.0
CASSINA DE PECCHI,2016,0,0.0,0.0
CASSINETTA DI LUGAGNANO,2016,0,0.0,0.0
CASTANO PRIMO,2016,0,0.0,0.0
CERNUSCO SUL NAVIGLIO,2016,0,0.0,0.0
CERRO AL LAMBRO,2016,0,0.0,0.0
CERRO MAGGIORE,2016,0,0.0,0.0
CESANO BOSCONE,2016,0,0.0,0.0
CESATE,2016,0,0.0,0.0
CINISELLO BALSAMO,2016,0,0.0,0.0
CISLIANO,2016,0,0.0,0.0
COLOGNO MONZESE,2016,0,0.0,0.0
COLTURANO,2016,0,0.0,0.0
CORBETTA,2016,0,0.0,0.0
CORMANO,2016,0,0.0,0.0
CORNAREDO,2016,0,0.0,0.0
CORSICO,2016,0,0.0,0.0
CUGGIONO,2016,0,0.0,0.0
CUSAGO,2016,0,0.0,0.0
CUSANO MILANINO,2016,0,0.0,0.0
DAIRAGO,2016,0,0.0,0.0
DRESANO,2016,0,0.0,0.0
GAGGIANO,2016,0,0.0,0.0
GARBAGNATE MILANESE,2016,0,0.0,0.0
GESSATE,2016,0,0.0,0.0
GORGONZOLA,2016,0,0.0,0.0
GREZZAGO,2016,0,0.0,0.0
GUDO VISCONTI,2016,0,0.0,0.0
INVERUNO,2016,0,0.0,0.0
INZAGO,2016,0,0.0,0.0
LACCHIARELLA,2016,0,0.0,0.0
LAINATE,2016,0,0.0,0.0
LEGNANO,2016,0,0.0,0.0
LISCATE,2016,0,0.0,0.0
LOCATE DI TRIULZI,2016,0,0.0,0.0
MAGENTA,2016,0,0.0,0.0
MAGNAGO,2016,0,0.0,0.0
MARCALLO CON CASONE,2016,0,0.0,0.0
MASATE,2016,0,0.0,0.0
MEDIGLIA,2016,0,0.0,0.0
MELEGNANO,2016,0,0.0,0.0
MELZO,2016,0,0.0,0.0
MESERO,2016,0,0.0,0.0
MORIMONDO,2016,0,0.0,0.0
MOTTA VISCONTI,2016,0,0.0,0.0
MUNICIPIO_1,2016,0,0.0,0.0
MUNICIPIO_2,2016,0,0.0,0.0
MUNICIPIO_3,2016,0,0.0,0.0
MUNICIPIO_4,2016,0,0.0,0.0
MUNICIPIO_5,2016,0,0.0,0.0
MUNICIPIO_6,2016,0,0.0,0.0
MUNICIPIO_7,2016,0,0.0,0.0
MUNICIPIO_8,2016,0,0.0,0.0
MUNICIPIO_9,2016,0,0.0,0.0
NERVIANO,2016,0,0.0,0.0
NOSATE,2016,0,0.0,0.0
NOVATE MILANESE,2016,0,0.0,0.0
NOVIGLIO,2016,0,0.0,0.0
OPERA,2016,0,0.0,0.0
OSSONA,2016,0,0.0,0.0
OZZERO,2016,0,0.0,0.0
PADERNO DUGNANO,2016,0,0.0,0.0
PANTIGLIATE,2016,0,0.0,0.0
PARABIAGO,2016,0,0.0,0.0
PAULLO,2016,0,0.0,0.0
PERO,2016,0,0.0,0.0
PESCHIERA BORROMEO,2016,0,0.0,0.0
PESSANO CON BORNAGO,2016,0,0.0,0.0
PIEVE EMANUELE,2016,0,0.0,0.0
PIOLTELLO,2016,0,0.0,0.0
POGLIANO MILANESE,2016,0,0.0,0.0
