Comune,2013,2014,2015,2016,2017,2018,2019
Cerro al Lambro,0.2298,0.24481658692185007,0.254408559540321,0.2615782150665872,0.26325088339222613,0.26936688950058985,0.2698039215686274
Cesano Boscone,0.26264491197939027,0.26053042121684866,0.2687107779134903,0.27589573781626764,0.2823463973985966,0.29024727650008647,0.28941833011375834
Cesate,0.23745339833667908,0.2367057152999645,0.23839796567069294,0.24326426702496287,0.24748221705753926,0.251749230338651,0.2505405593917835
Cinisello Balsamo,0.26419544382489674,0.26538742987234737,0.27094399654865586,0.27508086235130125,0.2774905761981691,0.2802314134289914,0.28249712235087004
Cisliano,0.2088830255057168,0.20834224598930481,0.20923913043478262,0.21433034784419913,0.21484055600981194,0.2185960591133005,0.22531436817151104
Cologno Monzese,0.26232901559932564,0.2649654236137627,0.26788812254051536,0.2733601354210749,0.2791162523656623,0.2848345372797204,0.28662012425542815
Colturano,0.18949435444280804,0.196977084349098,0.19902912621359223,0.20433734939759035,0.2072992700729927,0.20905587668593448,0.21222493887530564
Corbetta,0.20945004736167605,0.21050306477442157,0.2186912788769758,0.2247857613711272,0.23073136042886055,0.2360950969088014,0.24028479808685255
Cormano,0.24026070211820472,0.24181036612480855,0.24625836943678614,0.2525946426806365,0.25514444004748715,0.26201588877855014,0.26298429577118104
Cornaredo,0.24855057976809275,0.25725871045254306,0.26106526631657917,0.26343550955414013,0.27016269466142595,0.274910322837784,0.2825913355959273
Corsico,0.2733140376266281,0.27452451730208666,0.27937980002898133,0.2857811859743605,0.29237850756838096,0.2953573972928046,0.2956218519953506
Cuggiono,0.2400342382000489,0.2444904419822233,0.2482079941683878,0.2548707266266389,0.25837203617697385,0.2632926829268293,0.2698004651732158
Cusago,0.20801733477789816,0.21095601790887542,0.21460350693535724,0.21156305960603736,0.2136839417921879,0.21164417791104448,0.20864707311148895
Cusano Milanino,0.304884509429964,0.30938932111265055,0.31681947348667633,0.31958428061058786,0.3245618824043239,0.3274176814284934,0.3266586643387167
Dairago,0.20102921646746347,0.20557093989249065,0.21196690006365373,0.2126046438161428,0.21761739678537662,0.22185741088180114,0.22815230961298377
Dresano,0.21817595874959717,0.23114434330299088,0.24002594875121636,0.2418086500655308,0.24686054196959684,0.25115359261700726,0.2540469111331351
Gaggiano,0.23996870459371855,0.24211347675844389,0.24619993342949073,0.2506126085987971,0.25118587975730833,0.2542466357820428,0.2544893687341633
Garbagnate Milanese,0.2717277877161598,0.2759569956474833,0.28057473824905327,0.28805742552162755,0.29303975173636765,0.29684031374870506,0.2971426475442908
Gessate,0.1887263241465351,0.19303939122649955,0.20291163525561448,0.2090126811594203,0.2117101842432463,0.21931129161423177,0.22681242807825086
Gorgonzola,0.22955799706343982,0.23477208551835418,0.23929128705894195,0.2451913444199559,0.24980095541401273,0.2504695996045477,0.24970651535902955
Grezzago,0.18895747599451304,0.1967885206696276,0.19637561779242174,0.2068624216430221,0.21109652002626395,0.2208955223880597,0.21977287909151635
Gudo Visconti,0.2044653349001175,0.21290711700844392,0.21281741233373638,0.22039072039072038,0.21901840490797547,0.23310601363918165,0.23605947955390336
Inveruno,0.25293093441671505,0.25594002306805075,0.2629741680242029,0.27525075810590155,0.27973901899102877,0.2881336136416725,0.29177811373415513
Inzago,0.22082252686180068,0.2228404633768129,0.2278194808718459,0.2312808988764045,0.23326462944708307,0.23774225238903277,0.23986426147526343
Lacchiarella,0.25135603000577034,0.2555467061099101,0.25835866261398177,0.2570624648283624,0.26246482836240853,0.2667117574117912,0.2669429819648258
Lainate,0.2440009503444999,0.2514069817781101,0.2568183604495795,0.26290081147088945,0.2704769412692156,0.2743757901390645,0.2753833483666026
Legnano,0.23575435987562526,0.2418585111745925,0.2422996913166018,0.25187590430364415,0.25588175812323044,0.26010259188406776,0.26141036706097376
Liscate,0.19585870889159562,0.20397286821705427,0.2103213242453749,0.21708097464927392,0.21887351778656128,0.2246305418719212,0.22987939945852817
Locate di Triulzi,0.22891204167501503,0.23208940331271202,0.23783998411753027,0.2400552758858948,0.23978651140223192,0.2464219647551358,0.24609867209460115
Magenta,0.2643301104972376,0.2670049015392553,0.26931463508486897,0.2711152589827345,0.2751084347496526,0.2757823986557446,0.276567326154103
Magnago,0.2289744981009224,0.23935135135135135,0.24065496068081438,0.24857050382997087,0.25262701765789186,0.26070294536296945,0.25998697351280936
Marcallo con Casone,0.23354564755838642,0.23410777670216198,0.23745605624800256,0.23707721761327377,0.24364508393285372,0.24755491422158088,0.2510589768654285
Masate,0.20627014356870788,0.21351587532770172,0.22494239631336405,0.22863675335810232,0.23737226277372261,0.24358604785240703,0.23829787234042554
Mediglia,0.21929101401483925,0.2267648762724489,0.23449821532331702,0.23597277556440904,0.2426642214071357,0.24728923257964192,0.25345390605375534
Melegnano,0.25906496800599527,0.2596612115991961,0.260988697339879,0.26139766114908763,0.2603847226094229,0.26234943087633994,0.26277533039647577
Melzo,0.2545563028856585,0.26065556036347903,0.2671036238556958,0.26874798841326036,0.27071644367716874,0.27301108838411026,0.27750204526861194
