Comune;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
"Senago";5110;5254;5322;5498;5673;5723;5727;5724;5811;5881;6054;
"Senna Lodigiana";499;500;508;514;531;520;533;506;519;517;539;
"Sesto San Giovanni";21419;21649;21826;21983;22306;22440;22389;22076;22109;21996;22296;
"Settala";1585;1644;1678;1716;1785;1806;1800;1804;1808;1823;1903;
"Settimo Milanese";4438;4572;4689;4796;4926;5046;5085;5089;5205;5273;5391;
"Solaro";3169;3283;3330;3409;3504;3549;3340;3382;3510;3463;3646;
"Somaglia";871;885;883;932;936;926;948;962;964;959;1029;
"Sordio";629;681;685;720;718;744;758;771;776;787;794;
"Tavazzano con Villavesco";1350;1396;1391;1434;1488;1538;1572;1559;1599;1611;1629;
"Terranova dei Passerini";209;214;213;218;220;227;225;226;225;235;241;
"Trezzano Rosa";907;969;1007;1040;1069;1105;1129;1131;1182;1194;1283;
"Trezzano sul Naviglio";4897;4953;5036;5157;5249;5311;5408;5454;5473;5582;5763;
"Trezzo sull'Adda";3089;3142;3216;3238;3292;3333;3288;3318;3364;3334;3478;
"Tribiano";621;647;679;705;726;736;747;758;804;811;871;
"Truccazzano";1231;1281;1317;1375;1374;1403;1429;1438;1503;1511;1548;
"Turano Lodigiano";373;392;388;398;408;414;408;413;433;426;441;
"Turbigo";1841;1901;1901;1969;1995;1976;1980;1980;1984;1992;2027;
"Valera Fratta";327;345;353;353;364;365;380;386;400;404;433;
"Vanzaghello";1393;1404;1442;1482;1498;1572;1562;1536;1531;1519;1558;
"Vanzago";2009;2046;2108;2140;2233;2247;2292;2293;2324;2349;2430;
"Vaprio d'Adda";1726;1766;1783;1848;1901;1950;1955;1941;2023;2029;2147;
"Vermezzo con Zelo";989;1021;1052;1122;1150;1176;1197;1204;1273;1304;1357;
"Vernate";644;672;680;696;718;726;746;753;775;784;827;
"Vignate";2008;2055;2140;2203;2251;2310;2381;2399;2468;2423;2493;
"Villa Cortese";1494;1533;1544;1602;1622;1614;1634;1669;1668;1638;1725;
"Villanova del Sillaro";356;364;372;377;394;406;410;403;424;441;465;
"Vimodrone";3827;3964;4046;4113;4209;4275;4329;4287;4390;4425;4514;
"Vittuone";1928;2009;2025;2109;2169;2179;2230;2233;2294;2340;2455;
"Vizzolo Predabissi";976;1023;1058;1060;1095;1115;1135;1100;1104;1102;1123;
"Zelo Buon Persico";1348;1426;1459;1501;1550;1576;1608;1616;1657;1685;1744;
"Zibido San Giacomo";1323;1341;1376;1441;1473;1519;1576;1588;1644;1658;1689;


(*) Dato omesso
