age_group,Comune,Sesso,Popolazione,Year
Middle-age,Boffalora sopra Ticino,Femmine,1116,2011
Middle-age,Boffalora sopra Ticino,Maschi,1128,2011
Middle-age,Bollate,Femmine,9510,2011
Middle-age,Bollate,Maschi,9054,2011
Middle-age,Bresso,Femmine,6416,2011
Middle-age,Bresso,Maschi,5986,2011
Middle-age,Bubbiano,Femmine,626,2011
Middle-age,Bubbiano,Maschi,601,2011
Middle-age,Buccinasco,Femmine,7359,2011
Middle-age,Buccinasco,Maschi,6912,2011
Middle-age,Buscate,Femmine,1205,2011
Middle-age,Buscate,Maschi,1271,2011
Middle-age,Bussero,Femmine,2342,2011
Middle-age,Bussero,Maschi,2258,2011
Middle-age,Busto Garolfo,Femmine,3495,2011
Middle-age,Busto Garolfo,Maschi,3496,2011
Middle-age,Calvignasco,Femmine,329,2011
Middle-age,Calvignasco,Maschi,318,2011
Middle-age,Cambiago,Femmine,1752,2011
Middle-age,Cambiago,Maschi,1816,2011
Middle-age,Canegrate,Femmine,3213,2011
Middle-age,Canegrate,Maschi,3206,2011
Middle-age,Carpiano,Femmine,1048,2011
Middle-age,Carpiano,Maschi,1137,2011
Middle-age,Carugate,Femmine,3798,2011
Middle-age,Carugate,Maschi,3701,2011
Middle-age,Casarile,Femmine,1055,2011
Middle-age,Casarile,Maschi,1018,2011
Middle-age,Casorezzo,Femmine,1468,2011
Middle-age,Casorezzo,Maschi,1516,2011
Middle-age,Cassano d'Adda,Femmine,4764,2011
Middle-age,Cassano d'Adda,Maschi,4759,2011
Middle-age,Cassina de' Pecchi,Femmine,3516,2011
Middle-age,Cassina de' Pecchi,Maschi,3363,2011
Middle-age,Cassinetta di Lugagnano,Femmine,546,2011
Middle-age,Cassinetta di Lugagnano,Maschi,523,2011
Middle-age,Castano Primo,Femmine,2719,2011
Middle-age,Castano Primo,Maschi,2850,2011
Middle-age,Cernusco sul Naviglio,Femmine,8061,2011
Middle-age,Cernusco sul Naviglio,Maschi,7574,2011
Middle-age,Cerro Maggiore,Femmine,3760,2011
Middle-age,Cerro Maggiore,Maschi,3821,2011
Middle-age,Cerro al Lambro,Femmine,1362,2011
Middle-age,Cerro al Lambro,Maschi,1284,2011
Middle-age,Cesano Boscone,Femmine,6262,2011
Middle-age,Cesano Boscone,Maschi,5908,2011
Middle-age,Cesate,Femmine,3662,2011
Middle-age,Cesate,Maschi,3681,2011
Middle-age,Cinisello Balsamo,Femmine,18377,2011
Middle-age,Cinisello Balsamo,Maschi,17952,2011
Middle-age,Cisliano,Femmine,1133,2011
Middle-age,Cisliano,Maschi,1149,2011
Middle-age,Cologno Monzese,Femmine,12021,2011
Middle-age,Cologno Monzese,Maschi,11518,2011
Middle-age,Colturano,Femmine,527,2011
Middle-age,Colturano,Maschi,548,2011
Middle-age,Corbetta,Femmine,4553,2011
Middle-age,Corbetta,Maschi,4716,2011
Middle-age,Cormano,Femmine,5095,2011
Middle-age,Cormano,Maschi,5018,2011
Middle-age,Cornaredo,Femmine,5414,2011
Middle-age,Cornaredo,Maschi,5309,2011
Middle-age,Corsico,Femmine,8625,2011
Middle-age,Corsico,Maschi,8160,2011
Middle-age,Cuggiono,Femmine,2106,2011
Middle-age,Cuggiono,Maschi,2154,2011
Middle-age,Cusago,Femmine,977,2011
Middle-age,Cusago,Maschi,963,2011
Middle-age,Cusano Milanino,Femmine,4861,2011
Middle-age,Cusano Milanino,Maschi,4619,2011
Middle-age,Dairago,Femmine,1562,2011
Middle-age,Dairago,Maschi,1558,2011
Middle-age,Dresano,Femmine,772,2011
Middle-age,Dresano,Maschi,799,2011
Middle-age,Gaggiano,Femmine,2471,2011
Middle-age,Gaggiano,Maschi,2426,2011
Middle-age,Garbagnate Milanese,Femmine,7091,2011
Middle-age,Garbagnate Milanese,Maschi,6780,2011
Middle-age,Gessate,Femmine,2291,2011
Middle-age,Gessate,Maschi,2346,2011
Middle-age,Gorgonzola,Femmine,5082,2011
Middle-age,Gorgonzola,Maschi,4924,2011
Middle-age,Grezzago,Femmine,721,2011
Middle-age,Grezzago,Maschi,796,2011
Middle-age,Gudo Visconti,Femmine,468,2011
Middle-age,Gudo Visconti,Maschi,445,2011
Middle-age,Inveruno,Femmine,2217,2011
Middle-age,Inveruno,Maschi,2243,2011
Middle-age,Inzago,Femmine,2640,2011
