Comune,Cardio_incidence,Year,Multiplicator,Label
Corsico,0.2793798000289813,2015,4.0,1
Cuggiono,0.2482079941683878,2015,1.0,1
Cusago,0.2146035069353572,2015,3.0,0
Cusano Milanino,0.3168194734866763,2015,8.0,1
Dairago,0.2119669000636537,2015,3.0,0
Dresano,0.2400259487512163,2015,0.0,1
Gaggiano,0.2461999334294907,2015,1.0,1
Garbagnate Milanese,0.2805747382490532,2015,4.0,1
Gessate,0.2029116352556144,2015,4.0,0
Gorgonzola,0.2392912870589419,2015,0.0,0
Grezzago,0.1963756177924217,2015,4.0,0
Gudo Visconti,0.2128174123337363,2015,3.0,0
Inveruno,0.2629741680242029,2015,2.0,1
Inzago,0.2278194808718459,2015,1.0,0
Lacchiarella,0.2583586626139817,2015,2.0,1
Lainate,0.2568183604495795,2015,2.0,1
Legnano,0.2422996913166018,2015,0.0,1
Liscate,0.2103213242453749,2015,3.0,0
Locate di Triulzi,0.2378399841175302,2015,0.0,0
Magenta,0.2693146350848689,2015,3.0,1
Magnago,0.2406549606808143,2015,0.0,1
Marcallo con Casone,0.2374560562480025,2015,0.0,0
Masate,0.224942396313364,2015,2.0,0
Mediglia,0.234498215323317,2015,1.0,0
Melegnano,0.260988697339879,2015,2.0,1
Melzo,0.2671036238556958,2015,3.0,1
Mesero,0.2369065100342633,2015,0.0,0
Morimondo,0.2353448275862069,2015,0.0,0
Motta Visconti,0.2444876783398184,2015,0.0,1
Nerviano,0.2669022652221771,2015,3.0,1
Nosate,0.2675438596491228,2015,3.0,1
Novate Milanese,0.283398992669426,2015,4.0,1
Noviglio,0.2052213393870601,2015,3.0,0
Opera,0.2779299622418005,2015,4.0,1
Ossona,0.2452258965999068,2015,1.0,1
Ozzero,0.2547478716437459,2015,1.0,1
Paderno Dugnano,0.2547203645492711,2015,1.0,1
Pantigliate,0.2519884921306481,2015,1.0,1
Parabiago,0.2459821589801004,2015,1.0,1
Paullo,0.250420465610339,2015,1.0,1
Pero,0.259129148562448,2015,2.0,1
Peschiera Borromeo,0.2341261276816161,2015,1.0,0
Pessano con Bornago,0.2247067850487778,2015,2.0,0
Pieve Emanuele,0.2330426977817669,2015,1.0,0
Pioltello,0.2226149378048112,2015,2.0,0
Pogliano Milanese,0.2550762946053105,2015,2.0,1
Pozzo d'Adda,0.200433188937021,2015,4.0,0
Pozzuolo Martesana,0.2419568622725629,2015,0.0,1
Pregnana Milanese,0.2602062438197485,2015,2.0,1
Rescaldina,0.2663528419869317,2015,3.0,1
Rho,0.278015482895182,2015,4.0,1
Robecchetto con Induno,0.2611019736842105,2015,2.0,1
Robecco sul Naviglio,0.2411420204978038,2015,0.0,1
Rodano,0.2130049686757399,2015,3.0,0
Rosate,0.2469446441409058,2015,1.0,1
Rozzano,0.2537452068497392,2015,1.0,1
San Donato Milanese,0.2618373891718543,2015,2.0,1
San Giorgio su Legnano,0.252678830002896,2015,1.0,1
San Giuliano Milanese,0.2441912717083873,2015,0.0,1
San Vittore Olona,0.2460858133142106,2015,1.0,1
San Zenone al Lambro,0.2195292472617105,2015,2.0,0
Santo Stefano Ticino,0.2266560255387071,2015,1.0,0
Sedriano,0.2310952865378094,2015,1.0,0
Segrate,0.2446256699902023,2015,0.0,1
Senago,0.2462065136935603,2015,1.0,1
Sesto San Giovanni,0.2698599141928065,2015,3.0,1
Settala,0.2264201862096883,2015,1.0,0
Settimo Milanese,0.2356873586328223,2015,0.0,0
Solaro,0.2375517192181481,2015,0.0,0
Trezzano Rosa,0.1986193293885601,2015,4.0,0
Trezzano sul Naviglio,0.2431910372802781,2015,0.0,1
Trezzo sull'Adda,0.2674650698602794,2015,3.0,1
Tribiano,0.192079207920792,2015,5.0,0
Truccazzano,0.2186981069412155,2015,2.0,0
Turbigo,0.2604823239243628,2015,2.0,1
Vanzaghello,0.2658554572271386,2015,3.0,1
Vanzago,0.230811343479689,2015,1.0,0
Vaprio d'Adda,0.2063418585811827,2015,3.0,0
Vermezzo con Zelo,0.1856033874382498,2015,5.0,0
Vernate,0.2059981823689791,2015,3.0,0
Vignate,0.2322300596852957,2015,1.0,0
Villa Cortese,0.2481118431624618,2015,1.0,1
Vimodrone,0.2380420074130728,2015,0.0,0
Vittuone,0.2267891141225221,2015,1.0,0
Vizzolo Predabissi,0.2710735331796054,2015,3.0,1
Zibido San Giacomo,0.2033998521803399,2015,4.0,0
San Siro Baggio Trenno,0.244055557173223,2015,0.0,1
Barona Lorenteggio,0.2549694829861785,2015,1.0,1
Centro Storico,0.1933082409698683,2015,5.0,0
Città Studi Lambrate,0.228818809054207,2015,1.0,0
Fiera Gallaratese Quarto Oggiaro,0.2478906198501461,2015,1.0,1
Stazione Centrale Bicocca,0.2084906208258319,2015,3.0,0
Stazione Garibaldi Niguarda,0.2248120178114143,2015,2.0,0
Vigentino Chiaravalle Gratosoglio,0.2350719657676348,2015,0.0,0
Vittoria Forlanini,0.233709778899135,2015,1.0,0
Abbiategrasso,0.2582795765301398,2016,2.0,1
Albairate,0.2451654490760636,2016,1.0,1
Arconate,0.2320706692618655,2016,1.0,0
Arese,0.2721313167810871,2016,3.0,1
Arluno,0.2538075313807531,2016,1.0,1
Assago,0.2358986069878967,2016,0.0,0
Baranzate,0.1799445791479044,2016,6.0,0
Bareggio,0.2577019393162891,2016,2.0,1
Basiano,0.2373068432671081,2016,0.0,0
Basiglio,0.1815910585141354,2016,6.0,0
Bellinzago Lombardo,0.2424718512699659,2016,0.0,1
Bernate Ticino,0.2492620531321744,2016,1.0,1
Besate,0.2317429406037001,2016,1.0,0
Binasco,0.2751103752759382,2016,4.0,1
Boffalora sopra Ticino,0.2487816764132553,2016,1.0,1
Bollate,0.3035532131927915,2016,6.0,1
Bresso,0.2877072612921669,2016,5.0,1
Bubbiano,0.2002503128911139,2016,4.0,0
Buccinasco,0.2351331360946745,2016,0.0,0
Buscate,0.2606864603074331,2016,2.0,1
Bussero,0.251074706634135,2016,1.0,1
Busto Garolfo,0.2489366303799293,2016,1.0,1
Calvignasco,0.2416107382550335,2016,0.0,1
Cambiago,0.2194005610512328,2016,2.0,0
Canegrate,0.2722804190169218,2016,3.0,1
Carpiano,0.2020102966413336,2016,4.0,0
Carugate,0.2291763765896531,2016,1.0,0
Casarile,0.202755905511811,2016,4.0,0
Casorezzo,0.2262707232647112,2016,1.0,0
Cassano d'Adda,0.2478494623655914,2016,1.0,1
Cassina de' Pecchi,0.2433998239953065,2016,0.0,1
Cassinetta di Lugagnano,0.2494703389830508,2016,1.0,1
Castano Primo,0.2469563671909713,2016,1.0,1
Cernusco sul Naviglio,0.2426543712141759,2016,0.0,1
Cerro Maggiore,0.2570493948315341,2016,2.0,1
Cerro al Lambro,0.2615782150665872,2016,2.0,1
Cesano Boscone,0.2758957378162676,2016,4.0,1
Cesate,0.2432642670249628,2016,0.0,1
Cinisello Balsamo,0.2750808623513012,2016,4.0,1
Cisliano,0.2143303478441991,2016,3.0,0
Cologno Monzese,0.2733601354210749,2016,3.0,1
Colturano,0.2043373493975903,2016,4.0,0
Corbetta,0.2247857613711272,2016,2.0,0
Cormano,0.2525946426806365,2016,1.0,1
Cornaredo,0.2634355095541401,2016,2.0,1
Corsico,0.2857811859743605,2016,5.0,1
Cuggiono,0.2548707266266389,2016,1.0,1
Cusago,0.2115630596060373,2016,3.0,0
Cusano Milanino,0.3195842806105878,2016,8.0,1
Dairago,0.2126046438161428,2016,3.0,0
Dresano,0.2418086500655308,2016,0.0,1
Gaggiano,0.2506126085987971,2016,1.0,1
Garbagnate Milanese,0.2880574255216275,2016,5.0,1
Gessate,0.2090126811594203,2016,3.0,0
Gorgonzola,0.2451913444199559,2016,1.0,1
Grezzago,0.2068624216430221,2016,3.0,0
Gudo Visconti,0.2203907203907203,2016,2.0,0
Inveruno,0.2752507581059015,2016,4.0,1
Inzago,0.2312808988764045,2016,1.0,0
Lacchiarella,0.2570624648283624,2016,2.0,1
Lainate,0.2629008114708894,2016,2.0,1
Legnano,0.2518759043036441,2016,1.0,1
Liscate,0.2170809746492739,2016,2.0,0
Locate di Triulzi,0.2400552758858948,2016,0.0,1
Magenta,0.2711152589827345,2016,3.0,1
Magnago,0.2485705038299708,2016,1.0,1
Marcallo con Casone,0.2370772176132737,2016,0.0,0
