Comune,Neuro_incidence,Year,Multiplicator,Label
Arconate,0.0143223277551635,2015,0.0,0
Arese,0.0156144976991882,2015,0.0,1
Arluno,0.019066017134218,2015,0.0,1
Assago,0.0137286571296723,2015,0.0,0
Baranzate,0.0103448275862068,2015,0.0,0
Bareggio,0.0162474703671581,2015,0.0,1
Basiano,0.0123220153340635,2015,0.0,0
Basiglio,0.0103544404619673,2015,0.0,0
Bellinzago Lombardo,0.0132090132090132,2015,0.0,0
Bernate Ticino,0.0179973821989528,2015,0.0,1
Besate,0.0216138328530259,2015,1.0,1
Binasco,0.0206485587583148,2015,1.0,1
Boffalora sopra Ticino,0.0155339805825242,2015,0.0,1
Bollate,0.0196673856283346,2015,0.0,1
Bresso,0.0190559841136485,2015,0.0,1
Bubbiano,0.017126148705096,2015,0.0,1
Buccinasco,0.013363525000928,2015,0.0,0
Buscate,0.0159932659932659,2015,0.0,1
Bussero,0.0165116279069767,2015,0.0,1
Busto Garolfo,0.0153734590282813,2015,0.0,1
Calvignasco,0.0201680672268907,2015,0.0,1
Cambiago,0.0125851347349718,2015,0.0,0
Canegrate,0.0168837433671008,2015,0.0,1
Carpiano,0.0149144254278728,2015,0.0,0
Carugate,0.0125463743676222,2015,0.0,0
Casarile,0.0143245245739688,2015,0.0,0
Casorezzo,0.0156991602774735,2015,0.0,1
Cassano d'Adda,0.0150153382487487,2015,0.0,0
Cassina de' Pecchi,0.0149768739446442,2015,0.0,0
Cassinetta di Lugagnano,0.0148148148148148,2015,0.0,0
Castano Primo,0.0132964483312511,2015,0.0,0
Cernusco sul Naviglio,0.0173958237793879,2015,0.0,1
Cerro Maggiore,0.0143427860370685,2015,0.0,0
Cerro al Lambro,0.0122845254606697,2015,0.0,0
Cesano Boscone,0.0181106010192477,2015,0.0,1
Cesate,0.0153987426714699,2015,0.0,1
Cinisello Balsamo,0.0175398387575161,2015,0.0,1
Cisliano,0.0129598662207357,2015,0.0,0
Cologno Monzese,0.0188930732450387,2015,0.0,1
Colturano,0.0140776699029126,2015,0.0,0
Corbetta,0.0159721454625842,2015,0.0,1
Cormano,0.0159511618747538,2015,0.0,1
Cornaredo,0.0150537634408602,2015,0.0,0
Corsico,0.0187509056658455,2015,0.0,1
Cuggiono,0.0153079820191957,2015,0.0,0
Cusago,0.011253598534415,2015,0.0,0
Cusano Milanino,0.0197844619591442,2015,0.0,1
Dairago,0.0138446849140674,2015,0.0,0
Dresano,0.0175154070710347,2015,0.0,1
Gaggiano,0.015976922223455,2015,0.0,1
Garbagnate Milanese,0.0184896413455112,2015,0.0,1
Gessate,0.0117368242861979,2015,0.0,0
Gorgonzola,0.0148990788745155,2015,0.0,0
Grezzago,0.0128500823723228,2015,0.0,0
Gudo Visconti,0.0157194679564691,2015,0.0,1
Inveruno,0.0189667209681172,2015,0.0,1
Inzago,0.0156461969792891,2015,0.0,1
Lacchiarella,0.0160981650343352,2015,0.0,1
Lainate,0.0153658728287353,2015,0.0,1
Legnano,0.0164071936652798,2015,0.0,1
Liscate,0.0119279454722492,2015,0.0,0
Locate di Triulzi,0.0155846734167162,2015,0.0,1
Magenta,0.019710120141947,2015,0.0,1
Magnago,0.0136809221156953,2015,0.0,0
Marcallo con Casone,0.0167785234899328,2015,0.0,1
Masate,0.0097926267281105,2015,1.0,0
Mediglia,0.0188428654436789,2015,0.0,1
Melegnano,0.0204361228450736,2015,1.0,1
Melzo,0.0192297275337197,2015,0.0,1
Mesero,0.0168869309838472,2015,0.0,1
Morimondo,0.0112068965517241,2015,0.0,0
Motta Visconti,0.0171206225680933,2015,0.0,1
Nerviano,0.0172643531660969,2015,0.0,1
Nosate,0.0175438596491228,2015,0.0,1
Novate Milanese,0.0171046726175634,2015,0.0,1
Noviglio,0.0158910329171396,2015,0.0,1
Opera,0.0179166358184645,2015,0.0,1
Ossona,0.0174662319515603,2015,0.0,1
Ozzero,0.0111329404060248,2015,0.0,0
Paderno Dugnano,0.0149785869496424,2015,0.0,0
Pantigliate,0.0191233711287865,2015,0.0,1
Parabiago,0.0144100545342915,2015,0.0,0
Paullo,0.0200053111445516,2015,0.0,1
Pero,0.0172876028473698,2015,0.0,1
Peschiera Borromeo,0.0161436526093149,2015,0.0,1
Pessano con Bornago,0.0129343417735394,2015,0.0,0
Pieve Emanuele,0.0145531478394665,2015,0.0,0
Pioltello,0.0144117485889637,2015,0.0,0
Pogliano Milanese,0.0132163883215186,2015,0.0,0
Pozzo d'Adda,0.0101632789070309,2015,1.0,0
Pozzuolo Martesana,0.0150620556693577,2015,0.0,0
Pregnana Milanese,0.0146913405848283,2015,0.0,0
Rescaldina,0.0150354809246118,2015,0.0,0
Rho,0.0173336782821548,2015,0.0,1
Robecchetto con Induno,0.015625,2015,0.0,1
Robecco sul Naviglio,0.015519765739385,2015,0.0,1
Rodano,0.0146899978397062,2015,0.0,0
Rosate,0.0168943206326383,2015,0.0,1
Rozzano,0.0166241932026579,2015,0.0,1
San Donato Milanese,0.0186442809532792,2015,0.0,1
San Giorgio su Legnano,0.0172313929916015,2015,0.0,1
San Giuliano Milanese,0.0169702096164521,2015,0.0,1
San Vittore Olona,0.0201983984701804,2015,0.0,1
San Zenone al Lambro,0.0116522955022139,2015,0.0,0
Santo Stefano Ticino,0.0161612130885873,2015,0.0,1
Sedriano,0.0135639199728721,2015,0.0,0
Segrate,0.0173188865195089,2015,0.0,1
Senago,0.0147113249444855,2015,0.0,0
Sesto San Giovanni,0.0194982628370776,2015,0.0,1
Settala,0.014033193900958,2015,0.0,0
Settimo Milanese,0.0155315405880874,2015,0.0,1
Solaro,0.0144100442288486,2015,0.0,0
Trezzano Rosa,0.0106508875739644,2015,0.0,0
Trezzano sul Naviglio,0.0159358701950936,2015,0.0,1
Trezzo sull'Adda,0.0148868928809048,2015,0.0,0
Tribiano,0.0118811881188118,2015,0.0,0
Truccazzano,0.013948854201262,2015,0.0,0
Turbigo,0.0175390517950123,2015,0.0,1
Vanzaghello,0.0145648967551622,2015,0.0,0
Vanzago,0.0146720683236614,2015,0.0,0
Vaprio d'Adda,0.0128457354472861,2015,0.0,0
Vermezzo con Zelo,0.0158786167960479,2015,0.0,1
Vernate,0.014541048167222,2015,0.0,0
Vignate,0.0144329896907216,2015,0.0,0
Villa Cortese,0.0181584444801542,2015,0.0,1
Vimodrone,0.0160028240277696,2015,0.0,1
Vittuone,0.0138873334079964,2015,0.0,0
Vizzolo Predabissi,0.018703561363054,2015,0.0,1
Zibido San Giacomo,0.0152254249815225,2015,0.0,0
San Siro Baggio Trenno,0.0197536615904259,2015,0.0,1
Barona Lorenteggio,0.019891331292166,2015,0.0,1
Centro Storico,0.0161679386138202,2015,0.0,1
Città Studi Lambrate,0.0170104597594753,2015,0.0,1
Fiera Gallaratese Quarto Oggiaro,0.0198248775021423,2015,0.0,1
Stazione Centrale Bicocca,0.0150866936394551,2015,0.0,0
Stazione Garibaldi Niguarda,0.0167783957765852,2015,0.0,1
Vigentino Chiaravalle Gratosoglio,0.0176267505186722,2015,0.0,1
Vittoria Forlanini,0.0186019612453844,2015,0.0,1
Abbiategrasso,0.018735146146486,2016,0.0,1
Albairate,0.0148259561667382,2016,0.0,0
Arconate,0.015271747267555,2016,0.0,0
Arese,0.0166726887936819,2016,0.0,1
Arluno,0.0184937238493723,2016,0.0,1
Assago,0.0159853847910481,2016,0.0,1
Baranzate,0.010824385174922,2016,0.0,0
Bareggio,0.0168307029293576,2016,0.0,1
Basiano,0.0132450331125827,2016,0.0,0
Basiglio,0.010387902695595,2016,0.0,0
Bellinzago Lombardo,0.0136161298769311,2016,0.0,0
Bernate Ticino,0.018694653984913,2016,0.0,1
Besate,0.0209347614410905,2016,1.0,1
